epoch,acc,loss
0,0.9019333333333334,0.30188670703905324
1,0.9976666666666667,0.011918902229125767
2,0.9999333333333333,0.00038659580939177734
3,1.0,4.089495662871438e-05
4,1.0,2.3262561778634942e-05
5,1.0,1.6203087486549825e-05
6,1.0,1.20314936042026e-05
7,1.0,9.597702339912455e-06
8,1.0,7.645333203981863e-06
9,1.0,6.418299183921287e-06
